Source,description,API_Key_Url
Warsaw Stock Exchange (GPW),No description for this database yet.,https://www.quandl.com/api/v3/datasets/WSE/VENTUREIN?api_key=
Euronext Stock Exchange,"Historical stock data from Euronext, the largest European exchange.",https://www.quandl.com/api/v3/datasets/EURONEXT/ALMET?api_key=
Polish Power Exchange (TGE),No description for this database yet.,https://www.quandl.com/api/v3/datasets/PPE/GB2017W49?api_key=
Shanghai Futures Exchange,"Commodities exchange for energy, metal, and chemical-related industrial products. A derivatives marketplace for many commodities futures.",https://www.quandl.com/api/v3/datasets/SHFE/FUX2018?api_key=
South African Futures Exchange,"This database provides data on commodity future contracts from the South African Futures Exchange, a part of the Johannesburg Stock Exchange.",https://www.quandl.com/api/v3/datasets/SAFEX/CORNN2019?api_key=
BarclayHedge,No description for this database yet.,https://www.quandl.com/api/v3/datasets/BARH/BT50HR?api_key=
Bucharest Stock Exchange,"The Bucharest Stock Exchange publishes data on it activity in equity, rights, bonds, fund units, structured products, and futures contracts.",https://www.quandl.com/api/v3/datasets/BUCHARESTSE/INDICES?api_key=
Bitcoin Watch,Bitcoin mining statistics.,https://www.quandl.com/api/v3/datasets/BITCOINWATCH/MINING?api_key=
Korea Exchange,This database represents futures data from the Korea Exchange.,https://www.quandl.com/api/v3/datasets/KRX/KRDRVFUBMAH2018?api_key=
multpl.com,No description for this database yet.,https://www.quandl.com/api/v3/datasets/MULTPL/SP500_PE_RATIO_MONTH?api_key=
US Federal Reserve Data Releases,"Official US figures on money supply, interest rates, mortgages, government finances, bank assets and debt, exchange rates, industrial production.",https://www.quandl.com/api/v3/datasets/FED/RXI_N_A_VE?api_key=
Deutsche Bundesbank Data Repository,"Data on the German economy, money and capital markets, public finances, banking, households, Euro-area aggregates, trade and external debt.",https://www.quandl.com/api/v3/datasets/BUNDESBANK/BBQFS_A_DE_LIFE_NET_RET_INV_MILD__X_0000?api_key=
Financial Industry Regulatory Authority,Financial Industry Regulatory Authority provides short interest data on securities firms and exchange markets.,https://www.quandl.com/api/v3/datasets/FINRA/FORF_TEAR?api_key=
Central Bank of Brazil Statistical Database,"Brazilian macroeconomic data, covering public finances, national accounts, payment systems, inflation, exchange rates, trade, and international reserves.",https://www.quandl.com/api/v3/datasets/BCB/195?api_key=
Organization of the Petroleum Exporting Countries,"International organization and economic cartel overseeing policies of oil-producers, such as Iraq, Iran, Saudi Arabia, and Venezuela. Data on oil prices.",https://www.quandl.com/api/v3/datasets/OPEC/ORB?api_key=
Global Petroleum Prices,No description for this database yet.,https://www.quandl.com/api/v3/datasets/GPP/CFP_DZA?api_key=
United Kingdom Office of National Statistics,"Data on employment, investment, housing, household expenditure, national accounts, and many other socioeconomic indicators in the United Kingdom.",https://www.quandl.com/api/v3/datasets/UKONS/L4PP_A?api_key=
Bank of England Official Statistics,"Current and historical exchange rates, interest rates on secured loans and time deposits, Euro-commercial paper rates, and yields on government securities.",https://www.quandl.com/api/v3/datasets/BOE/IUDVCDA?api_key=
Bank for International Settlements,"BIS serves central banks with administration of monetary and financial stability, fosters international cooperation, and acts as bank for central banks.",https://www.quandl.com/api/v3/datasets/BIS/EERBR_RBVE?api_key=
Freddie Mac,Data from Freddie Mac’s Primary Mortgage Market Survey and other region specific historical mortgage rates.,https://www.quandl.com/api/v3/datasets/FMAC/30US?api_key=
Dalian Commodities Exchange,"Agriculture and commodities futures from DCE, with history spanning almost a decade for select futures.",https://www.quandl.com/api/v3/datasets/DCE/JDV2018?api_key=
WIKI Commodity Prices,"Price data for commodities including agricultural products, metals, and energy, in different regions of the world from a variety of sources. Sources include: USDA, COMEX, MARKIT, FRBNY and more.",https://www.quandl.com/api/v3/datasets/COM/AG_FAB?api_key=
Baker Hughes Investor Relations,"Baker Hughes is an oilfield service company. It publishes census data on the number of oil rigs in U.S. states, Canadian provinces, and per basin.",https://www.quandl.com/api/v3/datasets/BKRHUGHES/RIGS_BY_PROV_TOTAL_CANADA?api_key=
Federal Reserve Bank of New York,"The FRBNY is the largest regional central bank in the US. Sets monetary policy for New York, most of Connecticut and New Jersey, and some territories.",https://www.quandl.com/api/v3/datasets/FRBNY/36207WMX9?api_key=
US Treasury,"The U.S. Treasury ensures the nation's financial security, manages the nation's debt, collects tax revenues, and issues currency, provides data on yield rates.",https://www.quandl.com/api/v3/datasets/USTREASURY/REALLONGTERM?api_key=
European Commission Annual Macro-Economic Database,Annual macro-economic database of the European Commission's Directorate General for Economic and Financial Affairs (DG ECFIN).,https://www.quandl.com/api/v3/datasets/AMECO/ALB_1_0_0_0_YPUT8?api_key=
Singapore Exchange,Asian securities and derivatives exchange that trades in equities for many large Singaporean and other Asian companies. Listed on its own exchange.,https://www.quandl.com/api/v3/datasets/SGX/FEFZ2017?api_key=
Institute for Supply Management,"ISM promotes supply-chain management practices and publishes data on production and supply chains, new orders, inventories, and capital expenditures.",https://www.quandl.com/api/v3/datasets/ISM/BUY_CAP_EXP?api_key=
Unicorn Research Corporation,"Advance and decline data for the NYSE, AMEX, and NASDAQ stock exchanges. From various publicly-available sources and the median value is reported.",https://www.quandl.com/api/v3/datasets/URC/NASDAQ_UNCH?api_key=
Merrill Lynch,"Merrill Lynch, a major U.S. bank, publishes data on yield rates for corporate bonds in different regions.",https://www.quandl.com/api/v3/datasets/ML/AAAEY?api_key=
JODI Oil World Database,JODI oil and gas data comes from over 100 countries consisting of multiple energy products and flows in various methods of measurement.,https://www.quandl.com/api/v3/datasets/JODI/OIL_ONIMBK_PNG?api_key=
Association for Real Estate Securitization,"ARES protects investors, contributes to development of the real estate securitization product market, and facilitates expansion of the real estate investment market.",https://www.quandl.com/api/v3/datasets/ARES/JPI_R?api_key=
Montreal Exchange,"Montreal Exchange is a derivatives exchange that trades in futures contracts and options for equities, indices, currencies, ETFs, energy, and interest rates.",https://www.quandl.com/api/v3/datasets/MX/ONXG2018?api_key=
Multi Commodity Exchange India,"India's largest commodity exchange servicing futures trading in metals, energy, and agriculture. World's 3rd largest exchange in contracts and trading volume.",https://www.quandl.com/api/v3/datasets/MCX/SIX2017?api_key=
Lloyd's List,"Updated daily, this database offers values for the Baltic Dry Index, Capesize Index, Panamax Index, and the Supramax Index.",https://www.quandl.com/api/v3/databases/LLOYDS/codes?api_key=
China Financial Futures Exchange,"Index and bond futures from CFFEX, with history spanning almost a decade for select futures.",https://www.quandl.com/api/v3/datasets/CFFEX/ICM2018?api_key=
Nikkei,Nikkei consists of the major stock indexes of the Tokyo Stock Exchange. A price-weighted index considered to be the best representation of Japanese equities.,https://www.quandl.com/api/v3/datasets/NIKKEI/ALL_STOCK?api_key=
European Commission Business and Consumer Surveys,Data in this database is derived from harmonized surveys for different sectors of the economies in the European Union (EU) and in the EU applicant countries.,https://www.quandl.com/api/v3/datasets/ECBCS/CST_TOT_QU_RS?api_key=
Center for Applied Studies on Applied Economics (Brazil),"CEPEA is an economic research center at the University of Sao Paulo focusing on agribusiness issues, publishing price indices for commodities in Brazil.",https://www.quandl.com/api/v3/datasets/CEPEA/SOYBEAN?api_key=
Minneapolis Grain Exchange,A marketplace of futures and options contracts for regional commodities that facilitates trade of agricultural indexes.,https://www.quandl.com/api/v3/datasets/MGEX/IWZ2017?api_key=
BLS Inflation & Prices,"US national and state-level inflation data, published by the Bureau of Labor Statistics.",https://www.quandl.com/api/v3/datasets/BLSI/WPU115?api_key=
Australian Bureau of Statistics,Australia's national statistical agency provides socioeconomic and financial data on the country to the public and different levels of government.,https://www.quandl.com/api/v3/datasets/AUSBS/32220C9_A83748166R?api_key=
Bitfinex,"Bitfinex is a trading platform for Bitcoin, Litecoin and Darkcoin with many advanced features including margin trading, exchange and peer to peer margin funding.",https://www.quandl.com/api/v3/datasets/BITFINEX/AVTUSD?api_key=
World Federation of Exchanges,"A trade association of sixty publicly regulated stock, futures, and options exchanges that publishes data for its exchanges, like market capitalization.",https://www.quandl.com/api/v3/datasets/WFE/SHARES_JAPANEXCHANGEGROUPINC?api_key=
Paris School of Economics,This database describes the distribution of top incomes in a growing number of countries. Numbers are derived using tax data.,https://www.quandl.com/api/v3/datasets/PSE/ANNINC992I_PALL_ZW?api_key=
Top Flight Grain Co-operative,Cash price of corn and soybeans including basis to front month futures contract.,https://www.quandl.com/api/v3/datasets/TFGRAIN/SOYBEANS?api_key=
Zhengzhou Commodities Exchange,"Agriculture and commodities futures from ZCE, with history spanning almost a decade for select futures.",https://www.quandl.com/api/v3/datasets/ZCE/TAV2018?api_key=
Swiss Exchange,"A major European stock exchange. It publishes price data for stocks, derivatives, and other securities it trades in.",https://www.quandl.com/api/v3/datasets/SIX/DE000VTG9999CHF?api_key=
Bitcoin Charts Exchange Rate Data,"Exchange rates for bitcoin against a large number of currencies, from all major bitcoin exchanges, including current and historical exchange rates.",https://www.quandl.com/api/v3/datasets/BCHARTS/REMITANOVND?api_key=
Blockchain,"Blockchain is a website that publishes data related to Bitcoin, updated daily.",https://www.quandl.com/api/v3/datasets/BCHAIN/MWNUS?api_key=
United Nations World Tourism,This database offers comprehensive data on international tourism. Data includes number of tourist arrivals and tourism expenditures for all countries.,https://www.quandl.com/api/v3/datasets/UTOR/EXTUR_5206?api_key=
United Nations National Accounts Estimates,"This database offers global data on gross domestic product, gross national income, and gross value added by different sectors for all countries in the world.",https://www.quandl.com/api/v3/datasets/UNAE/GVAKD_LKA?api_key=
United Nations National Accounts Official Country Data,"This database offers global data on national accounts, such as assets and liabilities of households, corporations and governments.",https://www.quandl.com/api/v3/datasets/UNAC/CCGVAI3_TE_MAR?api_key=
United Nations Labour Market Indicators,This database offers comprehensive youth unemployment figures broken up by gender for all countries in the world.,https://www.quandl.com/api/v3/datasets/ULMI/YUNEM_F_GBR?api_key=
United Nations Industrial Development Organization,"This database offers global data on industrial development indicators, including output, employees, wages, value added for a wide range of industries.",https://www.quandl.com/api/v3/datasets/UIST/EST_CHEM_MDA?api_key=
United Nations Industrial Commodities,"This database offers global data on production of industrial commodities, such as ores and minerals, food products, transportable goods, and metal products.",https://www.quandl.com/api/v3/datasets/UINC/MEMA_LVA?api_key=
United Nations International Financial Statistics,"This database offers comprehensive data on international financial indicators, such as average earnings, bond yields, government revenues and expenditures.",https://www.quandl.com/api/v3/datasets/UIFS/OF_FAS_MEX?api_key=
United Nations Information and Communication Technology,"This database offers comprehensive global data on information and communication technology, including telephone, cellular and internet usage for all countries.",https://www.quandl.com/api/v3/datasets/UICT/INT_SSD?api_key=
United Nations Global Indicators,"This database offers a wide range of global indicators, covering population, public health, employment, trade, education, inflation and external debt.",https://www.quandl.com/api/v3/datasets/UGID/POPTOT_?api_key=
United Nations Greenhouse Gas Inventory,This database offers comprehensive global data on anthropogenic emissions of the six principal greenhouse gases. Data goes back to 1990.,https://www.quandl.com/api/v3/datasets/UGHG/USA?api_key=
United Nations Gender Information,"This database offers comprehensive global data on a wide range of gender-related indicators, covering demography, health, education and employment.",https://www.quandl.com/api/v3/datasets/UGEN/PPRJ_5001?api_key=
United Nations Food and Agriculture,"This database offers global food and agricultural data, covering crop production, fertilizer consumption, use of land for agriculture, and livestock.",https://www.quandl.com/api/v3/datasets/UFAO/CR_YAUT_5204?api_key=
United Nations Environment Statistics,"This database offers global data on water and waste related indicators, including fresh water supply and precipitation, and generation and collection of waste.",https://www.quandl.com/api/v3/datasets/UENV/WATER_TTO?api_key=
United Nations Energy Statistics,"This database offers comprehensive global statistics on production, trade, conversion, and final consumption of new and renewable energy sources.",https://www.quandl.com/api/v3/datasets/UENG/EW_PROD_KNA?api_key=
United Nations Commodity Trade,"This database offers comprehensive global data on imports and exports of commodities such as food, live animals, pharmaceuticals, metals, fuels and machinery.",https://www.quandl.com/api/v3/datasets/UCOM/MBME_LAO?api_key=
The Economist - Big Mac Index,The Big Mac index was invented by The Economist in 1986 as a lighthearted guide to whether currencies are at their “correct” level. It is based on the theory of purchasing-power parity (PPP).,https://www.quandl.com/api/v3/datasets/ECONOMIST/BIGMAC_ESP?api_key=
NAAIM Exposure Index,The NAAIM Exposure Index represents the average exposure to US Equity markets reported by NAAIM members.,https://www.quandl.com/api/v3/datasets/NAAIM/NAAIM?api_key=
Bank of France,The Banque de France is responsible for monetary policy through policies of the European System of Central Banks and providing data on key economic indictors.,https://www.quandl.com/api/v3/datasets/BOF/QS_D_IEUTIO9M?api_key=
Organisation for Economic Co-operation and Development,International organization of developed countries that promotes economic welfare. Collects data from members and others to make policy recommendations.,https://www.quandl.com/api/v3/datasets/OECD/HIGH_AGLINK_2010_ZAF_WT_QC?api_key=
Osaka Securities Exchange,"The second largest securities exchange in Japan. Unlike the TSE, OSE is strongest in derivatives trading, the majority of futures and options in Japan.",https://www.quandl.com/api/v3/datasets/OSE/NK225MDG2018?api_key=
Central Bank of Argentina,The Central Bank of Argentina is responsible monetary policy and provides data on foreign exchange markets and key macroeconomic indicators.,https://www.quandl.com/api/v3/datasets/BCRA/MVAR_CVS?api_key=
Economic Cycle Research Institute,"ECRI uses an indicator approach to predict recessions and recoveries, publishing data on indexes of coincident, lagging, and leading indicators for the US.",https://www.quandl.com/api/v3/datasets/ECRI/USLEADING?api_key=
Fish Pool Index,Fish Pool Index (TM) is composed of three index elements related to the average weekly spot price of buying and selling of Fresh Atlantic Salmon.,
Tokyo Commodities Exchange,"Agriculture and commodities futures from Tokyo Commodities Exchange (TOCOM), with history spanning almost a decade for select futures.",https://www.quandl.com/api/v3/datasets/TOCOM/33J2018?api_key=
Federal Reserve Bank of Philadelphia,"The FRBP is a regional central bank for the Federal Reserve. It publishes data on business confidence indexes, GDP, consumption, and other economic indicators.",https://www.quandl.com/api/v3/datasets/FRBP/ADS_VINTAGES_MOSTRECENT?api_key=
Federal Reserve Bank of Kansas City,"FRKC is the regional central bank for the 10th District of the Federal Reserve, publishing data on banking in mostly agricultural transactions.",https://www.quandl.com/api/v3/datasets/FRKC/AGR_FIN_B_4A?api_key=
American Association of Individual Investors,American Association of Individual Investor’s sentiment data.,https://www.quandl.com/api/v3/datasets/AAII/AAII_SENTIMENT?api_key=
Australian Securities Exchange,"Australia’s primary exchange, one of the world's largest by market cap and trading, acts as market operator, clearinghouse, and payments facilitator.",https://www.quandl.com/api/v3/datasets/ASX/IRZ2018?api_key=
Osaka Dojima Commodity Exchange,A non-profit commodity exchange in the Kansai region of Japan that trades in seven key agricultural commodities.,https://www.quandl.com/api/v3/datasets/ODE/YCZ2018?api_key=
Ministry of Finance Japan,"Japanese government bond interest rate data, published daily by the Ministry of Finance.",https://www.quandl.com/api/v3/datasets/MOFJ/INTEREST_RATE_JAPAN_40Y?api_key=
Rogers International Commodity Indices,"Composite, USD based, total return index, representing the value of a basket of commodities consumed in the global economy.",https://www.quandl.com/api/v3/datasets/RICI/RICI?api_key=
Tokyo Financial Exchange,The Tokyo Financial Exchange is a futures exchange that primary deals in financial instruments markets that handle securities and market derivatives.,https://www.quandl.com/api/v3/datasets/TFX/JBAZ2018?api_key=
ADP Research Institute,The research arm of ADP publishes statistics on employment in the United States,https://www.quandl.com/api/v3/datasets/ADP/EMPL_SERVICE_PR?api_key=
Prague Stock Exchange,Price index data from the Prague Stock Exchange.,https://www.quandl.com/api/v3/datasets/PRAGUESE/PX_TR?api_key=
Solar Influences Data Analysis Center,"The SIDC hosts data spanning from the 1700's on solar activity, specifically sunspot activity.",https://www.quandl.com/api/v3/datasets/SIDC/SUNSPOTS_13?api_key=
Borsa Italiana,"This database provides data on stock future contracts from the Borsa Italiana, now part of London Stock Exchange Group.",https://www.quandl.com/api/v3/datasets/BITAL/MFTSEMH2018?api_key=
BLS Employment & Unemployment,"US national and state-level employment and unemployment statistics, published by the Bureau of Labor Statistics.",https://www.quandl.com/api/v3/datasets/BLSE/CEU9000000010?api_key=
Taiwan Futures Exchange,"Index and bond futures from TAIFEX, with history spanning over a decade for select futures.",https://www.quandl.com/api/v3/datasets/TAIFEX/GDFV2018?api_key=
Bitstamp,Bitstamp is a trading platform for Bitcoin.,https://www.quandl.com/api/v3/datasets/BITSTAMP/USD?api_key=
Malta Stock Exchange,"The Malta Stock Exchange carries out the role of providing a structure for admission of financial instruments to its recognised lists which may subsequently be traded on a regulated, transparent and orderly market place (secondary market).The main participants in the market are Issuers, Stock Exchange Members (stockbrokers), and the investors in general.",https://www.quandl.com/api/v3/datasets/MALTASE/INDEX?api_key=
Zagreb Stock Exchange,Croatia's only stock exchange. It publishes data on the performance of its stock and bond indexes.,https://www.quandl.com/api/v3/datasets/ZAGREBSE/CROBEXPLUS?api_key=
Bank of Japan,"The Bank of Japan is responsible for monetary policy and the national currency, as well as for providing data on key macroeconomic variables.",https://www.quandl.com/api/v3/datasets/BOJ/COAEG2011401CFY43000?api_key=
Bureau of Economic Analysis,"Annual data on the US economy, covering national and state-level GDP, balance of payments, trade, corporate profits, and many other economic indicators.",https://www.quandl.com/api/v3/datasets/BEA/NIPA_2_8_5_M?api_key=
Monetary Authority of Singapore,No description for this database yet.,https://www.quandl.com/api/v3/datasets/MAS/SGSB?api_key=
Central Bank of the Republic of Turkey,CBRT is responsible for taking measures to sustain the stability of the financial system in Turkey.,https://www.quandl.com/api/v3/datasets/CBRT/TP_MK_ISL_MK?api_key=
National Bureau of Statistics of China,"Statistics of China relating to finance, industry, trade, agriculture, real estate, and transportation.",https://www.quandl.com/api/v3/datasets/NBSC/A19011D_M?api_key=
Belgrade Stock Exchange,"Belgrade Stock Exchange data, updated daily.",https://www.quandl.com/api/v3/datasets/BELGRADESE/BELEXLINE?api_key=
BATS U.S. Stock Exchanges,"Bats is an equities market operator in the U.S., operating four equities exchanges — BZX Exchange, BYX Exchange, EDGA Exchange, and EDGX Exchange",https://www.quandl.com/api/v3/datasets/BATS/EDGA_MCB?api_key=
United States Misery Index,"Developed by economist Arthur Okun, the Misery Index is the unemployment rate added to the inflation rate.",https://www.quandl.com/api/v3/datasets/USMISERY/INDEX?api_key=
Association of Mutual Funds in India,This database represents fund information from The Association of Mutual Funds in India.,https://www.quandl.com/api/v3/datasets/AMFI/141958?api_key=
Asia Bond Market Initiative,An initiative designed to promote bond market development in Asia. It publishes data related to the corporate and government bond markets of individual Asian countries,https://www.quandl.com/api/v3/datasets/ABMI/YLD_VOLATILITY_JPN?api_key=
U.S. Agency for International Development,US Agency for International Development provides a complete historical record of all foreign assistance provided by the United States to the rest of the world.,https://www.quandl.com/api/v3/datasets/USAID/MILCONT_STKITTSANDNEVIS?api_key=
Bombay Stock Exchange,"End of day prices, indices, and additional information for companies trading on the Bombay Stock Exchange in India.",https://www.quandl.com/api/v3/datasets/BSE/BOM517421?api_key=
